DATE,TEDRATE
2008-01-02,1.50
2008-01-03,1.49
2008-01-04,1.50
2008-01-07,1.35
2008-01-08,1.34
2008-01-09,1.30
2008-01-10,1.22
2008-01-11,1.24
2008-01-14,0.94
2008-01-15,0.91
2008-01-16,0.89
2008-01-17,0.93
2008-01-18,1.10
2008-01-21,.
2008-01-22,1.42
2008-01-23,1.17
2008-01-24,0.92
2008-01-25,1.06
2008-01-28,0.96
2008-01-29,1.01
2008-01-30,1.08
2008-01-31,1.19
2008-02-01,1.04
2008-02-04,0.92
2008-02-05,1.02
2008-02-06,1.08
2008-02-07,0.98
2008-02-08,0.91
2008-02-11,0.82
2008-02-12,0.82
2008-02-13,0.84
2008-02-14,0.81
2008-02-15,0.91
2008-02-18,.
2008-02-19,0.84
2008-02-20,0.88
2008-02-21,0.94
2008-02-22,0.93
2008-02-25,0.94
2008-02-26,1.00
2008-02-27,1.14
2008-02-28,1.22
2008-02-29,1.25
2008-03-03,1.34
2008-03-04,1.38
2008-03-05,1.50
2008-03-06,1.62
2008-03-07,1.52
2008-03-10,1.57
2008-03-11,1.42
2008-03-12,1.40
2008-03-13,1.47
2008-03-14,1.60
2008-03-17,1.49
2008-03-18,1.63
2008-03-19,2.00
2008-03-20,1.99
2008-03-21,.
2008-03-24,.
2008-03-25,1.38
2008-03-26,1.40
2008-03-27,1.42
2008-03-28,1.39
2008-03-31,1.33
2008-04-01,1.30
2008-04-02,1.31
2008-04-03,1.35
2008-04-04,1.40
2008-04-07,1.28
2008-04-08,1.32
2008-04-09,1.43
2008-04-10,1.46
2008-04-11,1.54
2008-04-14,1.64
2008-04-15,1.63
2008-04-16,1.62
2008-04-17,1.61
2008-04-18,1.59
2008-04-21,1.59
2008-04-22,1.66
2008-04-23,1.68
2008-04-24,1.67
2008-04-25,1.60
2008-04-28,1.48
2008-04-29,1.43
2008-04-30,1.44
2008-05-01,1.36
2008-05-02,1.30
2008-05-05,.
2008-05-06,1.16
2008-05-07,1.09
2008-05-08,1.09
2008-05-09,1.03
2008-05-12,0.94
2008-05-13,0.88
2008-05-14,0.93
2008-05-15,0.92
2008-05-16,0.88
2008-05-19,0.89
2008-05-20,0.83
2008-05-21,0.81
2008-05-22,0.81
2008-05-23,0.83
2008-05-26,.
2008-05-27,0.78
2008-05-28,0.79
2008-05-29,0.81
2008-05-30,0.83
2008-06-02,0.86
2008-06-03,0.85
2008-06-04,0.86
2008-06-05,0.86
2008-06-06,0.89
2008-06-09,0.83
2008-06-10,0.81
2008-06-11,0.87
2008-06-12,0.82
2008-06-13,0.86
2008-06-16,0.77
2008-06-17,0.85
2008-06-18,0.91
2008-06-19,0.93
2008-06-20,0.97
2008-06-23,0.95
2008-06-24,1.01
2008-06-25,1.03
2008-06-26,1.10
2008-06-27,1.15
2008-06-30,0.91
2008-07-01,0.95
2008-07-02,1.00
2008-07-03,0.98
2008-07-04,.
2008-07-07,0.95
2008-07-08,0.96
2008-07-09,1.00
2008-07-10,1.15
2008-07-11,1.21
2008-07-14,1.29
2008-07-15,1.42
2008-07-16,1.44
2008-07-17,1.39
2008-07-18,1.34
2008-07-21,1.34
2008-07-22,1.28
2008-07-23,1.24
2008-07-24,1.17
2008-07-25,1.08
2008-07-28,1.10
2008-07-29,1.11
2008-07-30,1.13
2008-07-31,1.14
2008-08-01,1.16
2008-08-04,1.08
2008-08-05,1.08
2008-08-06,1.19
2008-08-07,1.17
2008-08-08,1.13
2008-08-11,0.96
